Control1 Control2 Control3 Treatment1 Treatment2 Treatment3
244977_at 101.711537483149 29.4188213921657 282.294257138832 15.3820599577992 62.9022507711469 111.080196564705
244978_at 1777.61501396011 2617.19491841191 1932.23019576474 2156.93677516626 1653.82663124323 2869.00585414717
244979_at 1307.36725110545 943.494136329472 827.255586386187 1202.60349434218 926.513594434794 1131.92394349747
244980_at 937.331608516894 508.483913871936 1041.42476462749 421.356190645205 749.051627874734 616.208643844956
244981_at 1274.33474106156 1226.27629495377 586.719491651714 1210.35609860399 1140.47713274417 1390.86341482291
244982_at 1839.60345699304 1892.9244536047 959.890744976172 2233.58152009910 1548.91077149944 2137.42871265363
244983_at 3159.28091817009 4369.567224161 1404.53287505911 4496.75512173286 2321.31187180072 3055.65829256387
244984_at 4950.31184041539 4975.23594826724 4459.72386043197 4571.6888311439 4253.02723780833 3594.81317386086
244985_at 2629.17493477837 2967.69245185751 2349.52352444074 2661.45088054519 2211.90017523020 2141.87216770775
244986_at 6336.1438371827 5993.09083057297 4605.74357215851 4401.7941716216 4749.96326850333 4794.14430518447
244987_s_at 11969.0189858866 10461.8545564165 9222.18768600763 10389.5341555755 10344.9441732830 11601.7816574365
244988_s_at 4656.03283352494 4409.12340218054 2558.28080867670 3098.67229467538 3466.49149350594 3383.37048931558
244989_s_at 40.5258198950669 370.313131673025 252.449058645533 58.6628904288536 93.4786806858373 14.3247881246831
244990_s_at 34.2107591430688 205.481749723419 165.964761184161 353.509744910176 36.9903010738558 40.1824821833241
244991_s_at 100.916549963172 190.087958995228 122.401929342906 290.001638100762 128.537387163927 173.923562393161
244992_s_at 8947.51033209952 8917.0769574161 3937.37913474703 8424.2827838156 7699.29796608482 7380.09429504745
244993_s_at 2289.87798759901 1615.50924134564 1127.22140336317 2001.96542518871 1708.01385091849 1648.8401246552
244994_at 24.0022303164411 165.696282608387 151.035650509647 440.445117721902 32.3026435115898 5.43841039345785
244995_at 21.3561679874649 21.3372805354234 28.9167592212831 14.3644446193571 50.0831109033497 8.84346858878764
244996_at 1707.11127916374 2242.14540693227 949.560160902285 1310.03189965626 1718.58781569578 1362.26963998255
244997_at 480.807005726153 758.883563864519 231.626867170820 556.864333383399 435.576685829258 476.752840879767
244998_at 1336.59247858016 1246.12442382555 949.155582893429 1784.97167330910 1091.54706677475 1589.34328666564
244999_at 96.4531889043503 322.883325115798 487.779639925532 16.2204476480729 100.343137476956 223.695237489534
245000_at 20.1595533819734 99.8186786214026 31.8382688807779 229.575269158007 87.3809107144217 151.877661193563
245001_at 8404.00840514302 8743.63744044791 4321.11409223143 9245.68209385047 5582.72583219819 10115.2735831337
245002_at 267.729356916691 191.023880074682 362.388360078234 339.240433597768 306.567371412326 243.448799631794
245003_at 769.639246010296 796.531307186988 123.761972335888 623.619835643493 475.407485494372 555.411443952468
245004_at 861.662650661492 1032.38727581132 1415.99957272793 1300.60019567048 805.984721825943 698.986879017461
245005_at 94.153348210987 166.953713897496 32.9873435047953 184.547768205514 53.633682295606 95.4654557586623
245006_at 4335.69369853049 4194.59547965892 2012.42822119315 4612.14355231831 3815.20837892036 5418.78847373047
245007_at 1039.25660575037 917.510670965744 54.5674169589648 1070.21851007529 809.081940014319 973.434558641323
245008_at 332.697956096196 578.964810133087 349.504772406342 535.811698286619 269.652373950967 224.903894771986
245009_at 3339.47073528422 3088.25570957895 1908.6319472356 2396.78791842582 3123.86391141275 2816.54900065097
245010_at 179.332978643766 206.552317015347 223.175740505584 26.2742668142722 191.504117483321 89.5475524158824
